School Name,City,State,Region,Zip,Latitude,Longitude,Acceptance Rate,Undergrads,Tuition (In-State) ,Average Cost of Attendence,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Auburn University,Auburn,Alabama,Southern,36849,32.599378,-85.488258,0.8054,22095,10696,29794,State,45400,84700,45400,62700,109000,145000
University of Alabama at Birmingham (UAB),Birmingham,Alabama,Southern,35294-0110,33.505697,-86.799345,0.5814,12047,8040,22684,State,39200,70100,43000,53400,91400,125000
University of Alabama at Huntsville (UAH),Huntsville,Alabama,Southern,35899,34.724557,-86.640449,0.7628,6346,9842,22059,State,43100,82700,46100,67800,106000,132000
"University of Alabama, Tuscaloosa",Tuscaloosa,Alabama,Southern,35487-0166,33.211875,-87.545978,0.5259,31663,10470,28422,State,41300,81400,40100,56500,117000,161000
"University of Alaska, Anchorage",Anchorage,Alaska,Western,99508,61.190163,-149.82619,0.8285,11833,5784,18379,State,45900,72600,39800,56600,99300,137000
Arizona State University (ASU),Tempe,Arizona,Western,85287,33.417721,-111.934383,0.825,42224,10370,23931,State,47400,84100,44600,60700,114000,163000
University of Arizona,Tucson,Arizona,Western,85721-0066,32.232672,-110.950815,0.7862,33402,11769,24633,State,47500,86100,44800,61700,117000,160000
Arkansas State University (ASU),Jonesboro,Arkansas,Southern,72401,35.842388,-90.679988,0.704,9128,8200,20872,State,38700,63300,33600,45300,83900,118000
University of Arkansas,Fayetteville,Arkansas,Southern,72701,36.070009,-94.176981,0.632,22254,8820,21817,State,44100,82800,43200,60700,113000,160000
University of Arkansas - Monticello (UAM),Monticello,Arkansas,Southern,71656,33.590909,-91.811153,NULL,2633,7210,16881,State,39200,74500,N/A,46100,110000,161000
Cal Poly San Luis Obispo,San Luis Obispo,California,California,93407,35.299513,-120.657311,0.2949,20367,9075,25300,State,57200,101000,55000,74700,133000,178000
California Institute of Technology (CIT),Pasadena,California,California,91125,34.137349,-118.125878,0.0807,979,47577,63471,Engineering,75500,123000,N/A,104000,161000,N/A
"California State University (CSU), Chico",Chico,California,California,95929-0150,39.729712,-121.844859,0.6525,16305,7040,22417,State,47400,88100,46800,62800,122000,154000
"California State University (CSU), Stanislaus",Turlock,California,California,95382-0299,37.52577,-120.852511,0.7434,8610,6728,16588,State,38000,71400,N/A,50500,94100,121000
"California State University, Dominguez Hills (CSUDH)",Carson,California,California,90747-0005,33.864766,-118.255917,0.4791,12666,6423,13027,State,42700,72100,30800,47000,92200,132000
"California State University, East Bay (CSUEB)",Hayward,California,California,94542,37.65707,-122.058073,0.6975,13361,6564,20303,State,49200,84300,46000,62400,115000,155000
